# timestamp,q0,q1,q2,q3,omega_x,omega_y,omega_z,roll,pitch,yaw
1.733620929718017578e+01,9.530287384986877441e-01,-1.244365517050027847e-02,-3.231806214898824692e-03,-3.026069998741149902e-01,6.915877169791140094e-04,-4.393632015163840524e-04,-2.374274931120672755e-03,-2.176410576266663358e-02,-1.675952344957897314e-02,-5.232584667775107556e-01
1.734638404846191406e+01,9.528326392173767090e-01,-1.230058912187814713e-02,-3.443182213231921196e-03,-3.032276332378387451e-01,6.699752467695612281e-04,-5.242765608144974408e-04,-2.318526430503455374e-03,-2.135429251710776327e-02,-1.717955470910299473e-02,-5.240516530921814908e-01
1.735656666755676270e+01,9.526408314704895020e-01,-1.218682341277599335e-02,-3.663190407678484917e-03,-3.038316071033477783e-01,6.025170016665461377e-04,-5.676307036924138670e-04,-2.253406793480790087e-03,-2.099488745944768503e-02,-1.764085903114435971e-02,-5.248224748875409684e-01
1.736679315567016602e+01,9.524559974670410156e-01,-1.209991611540317535e-02,-3.864528145641088486e-03,-3.044113814830780029e-01,4.854342636651761463e-04,-5.730731484687739572e-04,-2.178908902660340804e-03,-2.069794046038030480e-02,-1.807759279179404349e-02,-5.255617331759051547e-01
1.737707376480102539e+01,9.522822499275207520e-01,-1.205856539309024811e-02,-4.066672641783952713e-03,-3.049536645412445068e-01,3.463832221507435138e-04,-5.632831026859102651e-04,-2.065376472471080766e-03,-2.048745530740441606e-02,-1.854865906969056441e-02,-5.262524916378727990e-01
1.738731718063354492e+01,9.521201848983764648e-01,-1.206375844776630402e-02,-4.266396630555391312e-03,-3.054562807083129883e-01,1.882984215587257988e-04,-5.865448470029041616e-04,-1.923954613044661331e-03,-2.036730867739938028e-02,-1.904733304651289039e-02,-5.268921008429261477e-01
1.739764022827148438e+01,9.519658088684082031e-01,-1.209823228418827057e-02,-4.446229897439479828e-03,-3.059327304363250732e-01,4.552263257183679894e-05,-5.785445711996398425e-04,-1.802988139188235750e-03,-2.031510978386005459e-02,-1.952062349873190730e-02,-5.274979942600337424e-01
1.740798115730285645e+01,9.518276453018188477e-01,-1.216209027916193008e-02,-4.578881897032260895e-03,-3.063581883907318115e-01,-8.666712471393788234e-05,-4.927931752673389955e-04,-1.659764126972083659e-03,-2.034827575848114842e-02,-1.990328292526507420e-02,-5.280391482898493249e-01
1.741828298568725586e+01,9.516938328742980957e-01,-1.224105339497327805e-02,-4.679371137171983719e-03,-3.067687749862670898e-01,-2.036060260263393158e-04,-3.794877027418136007e-04,-1.536994774061400991e-03,-2.042992129435030127e-02,-2.022165236754032425e-02,-5.285612209266128403e-01
1.742859053611755371e+01,9.515666961669921875e-01,-1.234968844801187515e-02,-4.764780402183532715e-03,-3.071572184562683105e-01,-2.991716341935382736e-04,-3.166625532296672620e-04,-1.468111779528524438e-03,-2.057748324675718124e-02,-2.052633442669908256e-02,-5.290550420381544550e-01
1.743887734413146973e+01,9.514446854591369629e-01,-1.248617097735404968e-02,-4.823265131562948227e-03,-3.075287044048309326e-01,-3.988798007355161832e-04,-2.815889516348079442e-04,-1.395505953045873349e-03,-2.079471572591448311e-02,-2.078848749799243681e-02,-5.295274279258787020e-01
1.744911646842956543e+01,9.513281583786010742e-01,-1.264042314141988754e-02,-4.828169941902160645e-03,-3.078826665878295898e-01,-5.031270116125113228e-04,-1.778200767299003757e-04,-1.330321097468956711e-03,-2.107892219675201045e-02,-2.093784875791689787e-02,-5.299779417832513051e-01
1.745940232276916504e+01,9.512171149253845215e-01,-1.281014271080493927e-02,-4.824161529541015625e-03,-3.082185983657836914e-01,-5.852739930256678578e-04,-8.924756980245654176e-05,-1.263321887858305081e-03,-2.139829433520670440e-02,-2.107740294534820105e-02,-5.304054546651393309e-01
1.748033571243286133e+01,9.511201977729797363e-01,-1.299381814897060394e-02,-4.784977063536643982e-03,-3.085103332996368408e-01,-6.584248810335443071e-04,-3.045226921970189645e-05,-1.148062909016255538e-03,-2.176665479118619628e-02,-2.114271783879381056e-02,-5.307772375534333120e-01
1.749050593376159668e+01,9.509372711181640625e-01,-1.340295467525720596e-02,-4.602536093443632126e-03,-3.090593218803405762e-01,-8.282006884866421198e-04,1.505053042973176732e-04,-1.001056220653555274e-03,-2.264776095568195660e-02,-2.105955467297751169e-02,-5.314785052044387337e-01
1.750073599815368652e+01,9.508574008941650391e-01,-1.363867241889238358e-02,-4.463335033506155014e-03,-3.092964291572570801e-01,-9.441212943100113887e-04,2.155423832002232253e-04,-9.061388217305960200e-04,-2.317795325109733851e-02,-2.092708841492323113e-02,-5.317826557729142811e-01
1.751101756095886230e+01,9.507888555526733398e-01,-1.389273162931203842e-02,-4.301311913877725601e-03,-3.094982802867889404e-01,-1.035605422948895731e-03,2.931804602561067000e-04,-7.964150679578412559e-04,-2.375784643001535926e-02,-2.075302093656658520e-02,-5.320429025025364966e-01
1.752123284339904785e+01,9.506789445877075195e-01,-1.442645210772752762e-02,-3.874315181747078896e-03,-3.098168969154357910e-01,-1.186730757426923688e-03,4.609275930144512653e-04,-5.733162292049404389e-04,-2.503180595005521578e-02,-2.017750671326209305e-02,-5.324582647407496427e-01
1.753145480155944824e+01,9.506789445877075195e-01,-1.442645210772752762e-02,-3.874315181747078896e-03,-3.098168969154357910e-01,-1.186730757426923688e-03,4.609275930144512653e-04,-5.733162292049404389e-04,-2.503180595005521578e-02,-2.017750671326209305e-02,-5.324582647407496427e-01
